year, Coal consumption,Petroleum  consumption,Natural gas consumption, Nuclear electricity consumption, Wind and Hydro electricity consumption, Net electricity imports, Bioenergy_and_waste,Total consumption,coal prod,oil prod,NG prod,Primary Elec prod,coal import,oil import,NG_LNG import,Electricity import,coal export,oil export,NG export,Total energy production
2000,34.9,89.2,99,19.6,0.5,1.2,2.3,246.7,19.6,138.3,108.4,20.2,16.1,74.8,2.2,1.2,0.8,123.9,11.6,286.4
2001,42.9,89.3,97.8,20.8,0.4,0.9,2.5,254.6,20,127.8,105.9,21.2,23.6,77.2,2.6,0.9,0.7,115.7,10.7,274.9
2002,37.1,84.5,97.2,20.1,0.5,0.7,2.8,242.9,18.8,127,103.6,20.6,19,78.3,5.2,0.8,0.7,120.8,11.6,270.1
2003,38.5,86.1,96.1,20,0.4,0.2,3.1,244.4,17.6,116.2,103,20.4,21.4,77.1,7.4,0.4,0.5,107.2,14.3,257.3
2004,39.2,89.3,99,18.2,0.6,0.6,3.5,250.4,15.6,104.5,96.4,18.7,24.2,88.4,11.4,0.8,0.6,103.6,8.8,235.3
2005,41.4,90.2,96.2,18.4,0.7,0.7,4.2,251.8,12.7,92.9,88.2,19,29.2,88.8,14.9,1,0.5,91.5,6.9,212.9
2006,44.3,91.9,91.5,17.1,0.8,0.6,4.4,250.6,11.4,84,80,17.9,33.4,94.2,21,0.9,0.5,86.3,9.5,193.3
2007,39,85.7,91.8,14,0.9,0.4,4.7,236.5,10.7,83.9,72.1,14.9,28.9,90.2,29.1,0.7,0.6,88.4,9.4,181.7
2008,39.9,86.4,95.2,11.9,1.1,0.9,6,241.4,11.3,78.7,69.5,13,29.2,91.8,35.2,1.1,0.6,84.1,9.5,172.5
2009,35.5,81.6,87.9,15.2,1.2,0.2,6.7,228.3,11,74.7,58.5,16.5,25.1,84.3,40.6,0.6,0.6,77.4,11.2,160.7
2010,28.3,80.5,93.6,13.9,1.2,0.2,7.8,225.5,11.4,69,55.3,15.1,17.8,85.9,52.8,0.6,0.9,74.4,14.5,150.8
2011,32.2,78,80.7,15.6,1.9,0.5,7.9,216.8,11.5,56.9,44,17.5,21.4,88.2,51.9,0.7,0.7,67.1,15.2,130
2012,39,77.1,74.8,15.2,2.3,1,8.4,217.8,10.6,48.8,37.4,17.5,29.2,94.8,48.7,1.2,0.8,66.5,11.3,114.3
2013,41,74.4,73.8,15.4,3,1.2,9.6,218.4,8,44.5,35.3,18.5,33.5,95.6,47.1,1.5,0.5,65.7,8.6,106.2
2014,35.1,75.9,67.8,13.9,3.6,1.8,11.2,209.3,7.3,43.7,35.8,17.5,28.2,90.8,42,2,0.4,58.6,10,104.2
2015,20.7,78.2,68.5,15.5,4.7,1.8,13.1,202.5,5.4,49.5,38.8,20.1,15.7,90.7,43.1,2,0.4,62,13.4,113.9
2016,8.9,78.8,76,15.4,4.6,1.5,14.2,199.4,2.6,52,39.8,20,6.6,91.6,46,1.7,0.3,64.8,9.8,114.4
