,year,country,coalImp_mmtoe,coalExp_mmtoe,coalNetExp,coalNetImp
0,2000,Belgium,0.032900033,0.05040005,0.017500018,0
1,2000,Denmark,0,0.008400008,0.008400008,0
2,2000,Finland,0,0.025200025,0.025200025,0
3,2000,France,0.011200011,0.088900089,0.077700078,0
4,2000,Germany,0.000700001,0.012600013,0.011900012,0
5,2000,Ireland,0.018200018,0.1995002,0.181300181,0
6,2000,Netherlands,0.132300132,0.011900012,0,0.12040012
7,2000,Spain,0,0.021700022,0.021700022,0
8,2000,Sweden,0,0.051100051,0.051100051,0
9,2000,Australia,4.272104272,0,0,4.272104272
10,2000,Canada,1.153601154,0,0,1.153601154
11,2000,Colombia,3.954303954,0,0,3.954303954
12,2000,Indonesia,0.006300006,0,0,0.006300006
13,2000,Norway,0.018200018,0.238000238,0.21980022,0
14,2000,China,0.284200284,0,0,0.284200284
15,2000,Poland,0.776300776,0,0,0.776300776
16,2000,South Africa,3.329203329,0,0,3.329203329
17,2000,Russia,0.359100359,0,0,0.359100359
18,2000,United States,1.958601959,0,0,1.958601959
19,2000,Venezuela,0.145600146,0,0,0.145600146
20,2000,Vietnam,0.086100086,0,0,0.086100086
21,2001,Belgium,0.043400043,0.048300048,0.004900005,0
22,2001,Denmark,0,0.011200011,0.011200011,0
23,2001,Finland,0,0.025200025,0.025200025,0
24,2001,France,0.004900005,0.081200081,0.076300076,0
25,2001,Germany,0.036400036,0.029400029,0,0.007000007
26,2001,Ireland,0.051100051,0.184100184,0.133000133,0
27,2001,Italy,0,0.003500004,0.003500004,0
28,2001,Netherlands,0.10990011,0.00980001,0,0.1001001
29,2001,Portugal,0,0,0,0
30,2001,Spain,0.000700001,0.008400008,0.007700008,0
31,2001,Sweden,0.003500004,0.041300041,0.037800038,0
32,2001,Australia,4.953204953,0,0,4.953204953
33,2001,Canada,0.827400827,0,0,0.827400827
34,2001,Colombia,4.705404705,0,0,4.705404705
35,2001,Indonesia,0.035000035,0,0,0.035000035
36,2001,Norway,0.017500018,0.188300188,0.170800171,0
37,2001,China,0.527100527,0,0,0.527100527
38,2001,Poland,0.864500865,0,0,0.864500865
39,2001,South Africa,7.181307181,0.000700001,0,7.180607181
40,2001,Russia,2.726502727,0,0,2.726502727
41,2001,United States,1.827001827,0,0,1.827001827
42,2001,Venezuela,0.039200039,0,0,0.039200039
43,2001,Vietnam,0.064400064,0,0,0.064400064
44,2002,Belgium,0.061600062,0.042000042,0,0.01960002
45,2002,Denmark,0,0.012600013,0.012600013,0
46,2002,Finland,0,0.026600027,0.026600027,0
47,2002,France,0.02030002,0.123900124,0.103600104,0
48,2002,Germany,0.017500018,0.067900068,0.05040005,0
49,2002,Ireland,0.040600041,0.193900194,0.153300153,0
50,2002,Italy,0,0.001400001,0.001400001,0
51,2002,Netherlands,0.247100247,0.009100009,0,0.238000238
52,2002,Portugal,0,0.000700001,0.000700001,0
53,2002,Spain,0.006300006,0,0,0.006300006
54,2002,Sweden,0.017500018,0.042000042,0.024500025,0
55,2002,Australia,3.565803566,0,0,3.565803566
56,2002,Canada,0.525000525,0,0,0.525000525
57,2002,Colombia,2.482902483,0,0,2.482902483
58,2002,Indonesia,0.031500032,0,0,0.031500032
59,2002,Norway,0.114800115,0.168700169,0.053900054,0
60,2002,China,0.23030023,0,0,0.23030023
61,2002,Poland,1.135401135,0,0,1.135401135
62,2002,South Africa,6.912506913,0,0,6.912506913
63,2002,Russia,3.097503098,0,0,3.097503098
64,2002,United States,1.096901097,0,0,1.096901097
65,2002,Vietnam,0.06020006,0,0,0.06020006
66,2003,Belgium,0.053900054,0.057400057,0.003500004,0
67,2003,Denmark,0,0.009100009,0.009100009,0
68,2003,Finland,0,0.028700029,0.028700029,0
69,2003,France,0.023100023,0.062300062,0.039200039,0
70,2003,Germany,0.011200011,0.001400001,0,0.00980001
71,2003,Greece,0,0.001400001,0.001400001,0
72,2003,Ireland,0.047600048,0.239400239,0.191800192,0
73,2003,Italy,0.017500018,0,0,0.017500018
74,2003,Netherlands,0.200900201,0.001400001,0,0.1995002
75,2003,Spain,0.014700015,0,0,0.014700015
76,2003,Sweden,0.005600006,0.036400036,0.030800031,0
77,2003,Australia,3.8997039,0,0,3.8997039
78,2003,Canada,0.587300587,0.000700001,0,0.586600587
79,2003,Colombia,2.22040222,0,0,2.22040222
80,2003,Indonesia,0.281400281,0,0,0.281400281
81,2003,Latvia,1.008701009,0,0,1.008701009
82,2003,Norway,0.112000112,0.139300139,0.027300027,0
83,2003,China,0.476000476,0,0,0.476000476
84,2003,Poland,1.331401331,0,0,1.331401331
85,2003,South Africa,8.534408534,0,0,8.534408534
86,2003,Russia,2.506702507,0,0,2.506702507
87,2003,United States,0.910700911,0,0,0.910700911
88,2003,Venezuela,0.028700029,0,0,0.028700029
89,2003,Vietnam,0.031500032,0,0,0.031500032
90,2004,Belgium,0.02030002,0.046900047,0.026600027,0
91,2004,Denmark,0.000700001,0.000700001,0,0
92,2004,Estonia,0,0,0,0
93,2004,Finland,0,0.025200025,0.025200025,0
94,2004,France,0.037800038,0.060900061,0.023100023,0
95,2004,Germany,0.044100044,0.009100009,0,0.035000035
96,2004,Ireland,0.033600034,0.286300286,0.252700253,0
97,2004,Italy,0.025900026,0.002100002,0,0.023800024
98,2004,Latvia,0.003500004,0,0,0.003500004
99,2004,Netherlands,0.161700162,0.014700015,0,0.147000147
100,2004,Poland,0.457800458,0,0,0.457800458
101,2004,Portugal ,0.005600006,0,0,0.005600006
102,2004,Spain,0.016800017,0.005600006,0,0.011200011
103,2004,Sweden,0.013300013,0.037800038,0.024500025,0
104,2004,Australia,4.34000434,0,0,4.34000434
105,2004,Canada,0.530600531,0.000700001,0,0.52990053
106,2004,Colombia,2.578102578,0,0,2.578102578
107,2004,Indonesia,1.020601021,0,0,1.020601021
108,2004,Norway,0.098000098,0.1001001,0.002100002,0
109,2004,China,0.465500466,0,0,0.465500466
110,2004,South Africa,7.100807101,0,0,7.100807101
111,2004,Russia,7.051807052,0,0,7.051807052
112,2004,United States,1.442701443,0,0,1.442701443
113,2004,Venezuela,0.027300027,0,0,0.027300027
114,2004,Vietnam,0.016100016,0,0,0.016100016
115,2005,Austria,0,0.003500004,0.003500004,0
116,2005,Belgium,0.023800024,0.06020006,0.036400036,0
117,2005,Czech Rep.,0.000700001,0,0,0.000700001
118,2005,Denmark,0,0.002800003,0.002800003,0
119,2005,Estonia,0.010500011,0,0,0.010500011
120,2005,Finland,0,0.025200025,0.025200025,0
121,2005,France,0.002800003,0.037100037,0.034300034,0
122,2005,Germany,0.03990004,0.004200004,0,0.035700036
123,2005,Ireland,0.032200032,0.242900243,0.210700211,0
124,2005,Italy,0.003500004,0,0,0.003500004
125,2005,Latvia,0.082600083,0,0,0.082600083
126,2005,Netherlands,0.186900187,0.011900012,0,0.175000175
127,2005,Poland,0.46970047,0.000700001,0,0.469000469
128,2005,Spain,0.030800031,0,0,0.030800031
129,2005,Sweden,0.025200025,0.040600041,0.015400015,0
130,2005,Australia,3.124103124,0,0,3.124103124
131,2005,Canada,0.758800759,0.000700001,0,0.758100758
132,2005,Colombia,2.302302302,0,0,2.302302302
133,2005,Indonesia,1.131201131,0,0,1.131201131
134,2005,Norway,0,0.091700092,0.091700092,0
135,2005,China,0.351400351,0,0,0.351400351
136,2005,South Africa,9.12030912,0,0,9.12030912
137,2005,Russia,12.35221235,0,0,12.35221235
138,2005,United States,1.056301056,0,0,1.056301056
139,2006,Belgium,0.01960002,0.048300048,0.028700029,0
140,2006,Czech Rep.,0,0.000700001,0.000700001,0
141,2006,Denmark,0.007000007,0.003500004,0,0.003500004
142,2006,Estonia,0.025900026,0,0,0.025900026
143,2006,Finland,0,0.014000014,0.014000014,0
144,2006,France,0.003500004,0.032900033,0.029400029,0
145,2006,Germany,0.05950006,0.010500011,0,0.049000049
146,2006,Ireland,0.018200018,0.203700204,0.185500186,0
147,2006,Latvia,0.268800269,0,0,0.268800269
148,2006,Netherlands,0.161000161,0.017500018,0,0.143500144
149,2006,Poland,0.620900621,0,0,0.620900621
150,2006,Spain,0.032200032,0.044800045,0.012600013,0
151,2006,Sweden,0.02030002,0.002100002,0,0.018200018
152,2006,Australia,2.83990284,0,0,2.83990284
153,2006,Canada,0.897400897,0.000700001,0,0.896700897
154,2006,Colombia,2.658602659,0,0,2.658602659
155,2006,Iceland,0,0.011900012,0.011900012,0
156,2006,Indonesia,1.326501327,0,0,1.326501327
157,2006,Norway,0.015400015,0.028000028,0.012600013,0
158,2006,China,0.189000189,0,0,0.189000189
159,2006,South Africa,8.85010885,0,0,8.85010885
160,2006,Russia,15.71711572,0,0,15.71711572
161,2006,United States,1.416801417,0,0,1.416801417
162,2006,Vietnam,0.013300013,0,0,0.013300013
163,2007,Belgium,0.009100009,0.042000042,0.032900033,0
164,2007,Czech Rep.,0,0.000700001,0.000700001,0
165,2007,Denmark,0.004900005,0.007700008,0.002800003,0
166,2007,Estonia,0.046200046,0,0,0.046200046
167,2007,Finland,0,0.028000028,0.028000028,0
168,2007,France,0.002100002,0.036400036,0.034300034,0
169,2007,Germany,0.029400029,0.070700071,0.041300041,0
170,2007,Ireland,0.02030002,0.223300223,0.203000203,0
171,2007,Italy,0.004900005,0,0,0.004900005
172,2007,Latvia,0.091000091,0,0,0.091000091
173,2007,Netherlands,0.206500207,0.022400022,0,0.184100184
174,2007,Poland,0.092400092,0,0,0.092400092
175,2007,Spain,0.007700008,0.081900082,0.074200074,0
176,2007,Sweden,0.018900019,0.006300006,0,0.012600013
177,2007,Australia,3.321503322,0,0,3.321503322
178,2007,Canada,1.163401163,0.003500004,0,1.15990116
179,2007,Colombia,2.71040271,0,0,2.71040271
180,2007,Indonesia,1.018501019,0,0,1.018501019
181,2007,Iceland,0,0.004900005,0.004900005,0
182,2007,Norway,0.029400029,0.032200032,0.002800003,0
183,2007,China,0.563500564,0,0,0.563500564
184,2007,South Africa,5.41030541,0,0,5.41030541
185,2007,Russia,14.18551419,0,0,14.18551419
186,2007,United States,1.766101766,0,0,1.766101766
187,2008,Belgium,0.027300027,0.14980015,0.122500123,0
188,2008,Czech Rep.,0.000700001,0.000700001,0,0
189,2008,Denmark,0.005600006,0.014000014,0.008400008,0
190,2008,Finland,0,0.025900026,0.025900026,0
191,2008,France,0,0.105700106,0.105700106,0
192,2008,Germany,0.035000035,0.067200067,0.032200032,0
193,2008,Ireland,0.028000028,0.252700253,0.224700225,0
194,2008,Latvia,0.224700225,0,0,0.224700225
195,2008,Netherlands,0.203000203,0.104300104,0,0.098700099
196,2008,Poland,0.151200151,0,0,0.151200151
197,2008,Spain,0.096600097,0.155400155,0.058800059,0
198,2008,Sweden,0.023100023,0.004200004,0,0.018900019
199,2008,Australia,2.758702759,0,0,2.758702759
200,2008,Bosnia and Herz.,0.033600034,0,0,0.033600034
201,2008,Canada,1.001001001,0.002100002,0,0.998900999
202,2008,Colombia,3.715603716,0,0,3.715603716
203,2008,Egypt,0.026600027,0.000700001,0,0.025900026
204,2008,India,0,0.001400001,0.001400001,0
205,2008,Indonesia,1.461601462,0,0,1.461601462
206,2008,Norway,0,0.044100044,0.044100044,0
207,2008,China,0.053900054,0,0,0.053900054
208,2008,South Africa,2.937902938,0,0,2.937902938
209,2008,Russia,14.87431487,0,0,14.87431487
210,2008,Turkey,0.063000063,0,0,0.063000063
211,2008,United States,2.998802999,0,0,2.998802999
212,2008,Venezuela,0.005600006,0,0,0.005600006
213,2009,Belgium,0.011900012,0.032200032,0.02030002,0
214,2009,Denmark,0.007700008,0,0,0.007700008
215,2009,Finland,0,0.016800017,0.016800017,0
216,2009,France,0,0.045500046,0.045500046,0
217,2009,Germany,0.018900019,0.014000014,0,0.004900005
218,2009,Ireland,0.052500053,0.242200242,0.18970019,0
219,2009,Latvia,0.064400064,0,0,0.064400064
220,2009,Netherlands,0.091000091,0.003500004,0,0.087500088
221,2009,Poland,0.396200396,0.004200004,0,0.392000392
222,2009,Portugal,0.000700001,0,0,0.000700001
223,2009,Spain,0.198800199,0.133700134,0,0.065100065
224,2009,Sweden,0.013300013,0.007000007,0,0.006300006
225,2009,Australia,2.156002156,0,0,2.156002156
226,2009,Canada,0.149100149,0.000700001,0,0.148400148
227,2009,Colombia,3.42020342,0,0,3.42020342
228,2009,Indonesia,0.485800486,0,0,0.485800486
229,2009,Norway,0.038500039,0.064400064,0.025900026,0
230,2009,China,0.42000042,0,0,0.42000042
231,2009,South Africa,2.067802068,0.018900019,0,2.048902049
232,2009,Russia,12.40821241,0,0,12.40821241
233,2009,United States,3.210903211,0,0,3.210903211
234,2009,Venezuela,0.343000343,0,0,0.343000343
235,2010,Belgium,0.016800017,0.124600125,0.107800108,0
236,2010,Denmark,0,0.002800003,0.002800003,0
237,2010,Finland,0.002100002,0.025900026,0.023800024,0
238,2010,France,0.007700008,0.042000042,0.034300034,0
239,2010,Germany,0.071400071,0.045500046,0,0.025900026
240,2010,Ireland,0.332500333,0.284900285,0,0.047600048
241,2010,Latvia,0.001400001,0,0,0.001400001
242,2010,Netherlands,0.115500116,0.003500004,0,0.112000112
243,2010,Poland,0.396900397,0,0,0.396900397
244,2010,Portugal,0,0,0,0
245,2010,Spain,0.104300104,0.007000007,0,0.097300097
246,2010,Sweden,0.01960002,0.021700022,0.002100002,0
247,2010,Australia,2.309302309,0,0,2.309302309
248,2010,Canada,0.296800297,0.037800038,0,0.259000259
249,2010,Colombia,3.862603863,0,0,3.862603863
250,2010,Indonesia,0.113400113,0,0,0.113400113
251,2010,Norway,0.048300048,0.085400085,0.037100037,0
252,2010,China,0.004900005,0,0,0.004900005
253,2010,South Africa,0.52990053,0.047600048,0,0.482300482
254,2010,Russia,5.84990585,0,0,5.84990585
255,2010,United States,2.6999027,0,0,2.6999027
256,2011,Belgium,0.228200228,0.071400071,0,0.156800157
257,2011,Denmark,0.007700008,0.00980001,0.002100002,0
258,2011,Finland,0.001400001,0.038500039,0.037100037,0
259,2011,France,0,0.047600048,0.047600048,0
260,2011,Germany,0.094500095,0.194600195,0.1001001,0
261,2011,Ireland,0.394100394,0.252700253,0,0.141400141
262,2011,Latvia,0.003500004,0,0,0.003500004
263,2011,Netherlands,0.144900145,0.007000007,0,0.137900138
264,2011,Poland,0.511000511,0.007700008,0,0.503300503
265,2011,Spain,0.076300076,0.005600006,0,0.070700071
266,2011,Sweden,0.016800017,0.001400001,0,0.015400015
267,2011,Australia,2.195202195,0.000700001,0,2.194502195
268,2011,Canada,0.210700211,0.004900005,0,0.205800206
269,2011,Colombia,5.163905164,0,0,5.163905164
270,2011,Norway,0.137900138,0.074200074,0,0.063700064
271,2011,China,0.006300006,0,0,0.006300006
272,2011,South Africa,0.434000434,0.058100058,0,0.375900376
273,2011,Russia,8.411908412,0,0,8.411908412
274,2011,United States,4.265104265,0.000700001,0,4.264404264
275,2011,Sri Lanka,0.334600335,0,0,0.334600335
276,2012,Belgium,0.060900061,0.054600055,0,0.006300006
277,2012,Denmark,0.004900005,0.004900005,0,0
278,2012,Finland,0.000700001,0.035000035,0.034300034,0
279,2012,France,0.002100002,0.049000049,0.046900047,0
280,2012,Germany,0.074900075,0.032900033,0,0.042000042
281,2012,Ireland,0.336700337,0.273700274,0,0.063000063
282,2012,Latvia,0.002800003,0,0,0.002800003
283,2012,Netherlands,0.163100163,0.00980001,0,0.153300153
284,2012,Poland,0.063700064,0.013300013,0,0.05040005
285,2012,Portugal,0,0.004900005,0.004900005,0
286,2012,Spain,0.092400092,0.01960002,0,0.072800073
287,2012,Sweden,0.016800017,0.002100002,0,0.014700015
288,2012,Australia,1.681401681,0,0,1.681401681
289,2012,Canada,0.585200585,0.011900012,0,0.573300573
