,year,country,crudeExp_mmtoe
0,2000,Belgium,0.966
1,2000,Denmark,0.0
2,2000,Finland,0.816
3,2000,France,10.33
4,2000,Germany,11.531
5,2000,Greece,0.0
6,2000,Ireland,0.0
7,2000,Italy,0.471
8,2000,Netherlands,13.771
9,2000,Portugal,0.694
10,2000,Spain,2.09
11,2000,Sweden,0.315
12,2000,Poland,0.0
13,2000,Canada,1.577
14,2000,Norway,0.085
15,2000,United States,26.365
16,2000,S. Korea,0.0
17,2000,China,0.0
18,2000,Other,2.604
19,2001,Belgium,0.383
20,2001,Denmark,0.07
21,2001,Finland,1.058
22,2001,France,12.637
23,2001,Germany,14.55
24,2001,Greece,0.0
25,2001,Ireland,0.163
26,2001,Italy,0.683
27,2001,Netherlands,22.314
28,2001,Portugal,0.757
29,2001,Spain,2.037
30,2001,Sweden,1.526
31,2001,Poland,0.0
32,2001,Canada,3.816
33,2001,Norway,0.385
34,2001,United States,21.587
35,2001,S. Korea,0.0
36,2001,China,0.0
37,2001,Other,0.303
38,2002,Belgium,0.434
39,2002,Denmark,0.064
40,2002,Finland,0.343
41,2002,France,11.018
42,2002,Germany,9.468
43,2002,Greece,0.134
44,2002,Ireland,0.943
45,2002,Italy,0.962
46,2002,Netherlands,22.046
47,2002,Portugal,0.998
48,2002,Spain,0.911
49,2002,Sweden,2.457
50,2002,Poland,0.0
51,2002,Canada,4.95
52,2002,Norway,0.077
53,2002,United States,23.514
54,2002,S. Korea,0.0
55,2002,China,0.0
56,2002,Other,1.632
57,2003,Belgium,0.478
58,2003,Denmark,0.057
59,2003,Finland,0.328
60,2003,France,11.139
61,2003,Germany,9.354
62,2003,Greece,0.0
63,2003,Ireland,0.785
64,2003,Italy,0.0
65,2003,Netherlands,17.583
66,2003,Portugal,1.071
67,2003,Spain,0.837
68,2003,Sweden,1.812
69,2003,Poland,0.0
70,2003,Canada,3.136
71,2003,Norway,0.287
72,2003,United States,21.049
73,2003,S. Korea,0.0
74,2003,China,0.0
75,2003,Other,1.114
76,2004,Belgium,0.126
77,2004,Denmark,0.0
78,2004,Finland,0.24
79,2004,France,9.454
80,2004,Germany,11.472
81,2004,Greece,0.0
82,2004,Ireland,0.641
83,2004,Italy,0.281
84,2004,Netherlands,13.939
85,2004,Portugal,0.574
86,2004,Spain,0.177
87,2004,Sweden,2.159
88,2004,Poland,0.0
89,2004,Canada,2.405
90,2004,Norway,0.648
91,2004,United States,18.508
92,2004,S. Korea,0.0
93,2004,China,0.0
94,2004,Other,0.76
95,2005,Belgium,0.135
96,2005,Denmark,0.0
97,2005,Finland,0.56
98,2005,France,5.409
99,2005,Germany,13.15
100,2005,Greece,0.0
101,2005,Ireland,0.798
102,2005,Italy,1.577
103,2005,Netherlands,12.302
104,2005,Portugal,0.344
105,2005,Spain,0.402
106,2005,Sweden,1.131
107,2005,Poland,0.087
108,2005,Canada,1.711
109,2005,Norway,0.948
110,2005,United States,13.554
111,2005,S. Korea,0.0
112,2005,China,0.0
113,2005,Other,0.525
114,2006,Belgium,0.152
115,2006,Denmark,0.093
116,2006,Finland,0.892
