country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Iran,0,0,0,0,0,0,0,0,40,562,432,692,165,0,0,0,0
Saudi Arabia,1573,623,324,762,1363,1358,0,0,0,0,0,144,539,1882,1568,1721,1285
Algeria,1992,1335,2025,1308,1477,1157,2178,2523,1586,1194,1230,2514,3299,6032,6735,6021,2340
Angola,0,468,127,0,0,0,0,498,1375,953,111,465,1522,1236,881,2441,1042
Latvia,27,80,49,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,155,0,0,129,155,548,1126,927,2047,1872,2727,741,2968,2212,675,303,994
Lithuania ,0,0,86,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,782,821,820,749,323,168,165,442,356,0,0,0,0,0,0,0,0
Netherlands ,0,11,36,33,0,17,22,49,91,38,75,69,44,78,40,6,3
Nigeria,252,130,293,129,249,388,539,885,1991,1842,1738,3494,6808,5556,5293,5175,3031
Norway,27523,27657,29057,33560,39938,40072,39699,37474,35114,35007,36398,35790,27814,20290,21344,22374,28465
Russia ,1487,2920,3568,3924,7489,6986,7275,5400,5609,4068,3302,4399,6329,3585,2961,2836,2576
Venezuela,671,307,383,399,1254,1449,1915,1366,835,965,650,672,707,544,499,447,358
Other ,2437,3344,4147,3270,3846,1908,2862,2831,3115,4174,3794,4664,5123,7477,6467,3268,3786
