,year,country,gasExp_mmtoe
0,2000,Belgium,8.131898103
1,2000,Netherlands,0.6640582935
2,2000,Norway,0.0
3,2000,Ireland,2.772828156
4,2000,Isle of Man,0.0
5,2001,Belgium,6.951502887
6,2001,Netherlands,0.48495257999999997
7,2001,Norway,0.0
8,2001,Ireland,3.2785030005
9,2001,Isle of Man,0.0
10,2002,Belgium,7.840840570499999
11,2002,Netherlands,0.4159070265
12,2002,Norway,0.0
13,2002,Ireland,3.3312974835
14,2002,Isle of Man,0.0
15,2003,Belgium,10.545826956
16,2003,Netherlands,0.294410928
17,2003,Norway,0.0
18,2003,Ireland,3.5086835069999998
19,2003,Isle of Man,0.0
20,2004,Belgium,5.164229069999999
21,2004,Netherlands,0.24823725149999998
22,2004,Norway,0.0
23,2004,Ireland,3.360618198
24,2004,Isle of Man,0.0
25,2005,Belgium,3.15047208
26,2005,Netherlands,0.3663799545
27,2005,Norway,0.0
28,2005,Ireland,3.3067059165
29,2005,Isle of Man,0.08168527499999999
30,2006,Belgium,5.175750992999999
31,2006,Netherlands,0.2898537495
32,2006,Norway,0.0
33,2006,Ireland,3.9742035899999997
34,2006,Isle of Man,0.0883060815
35,2007,Belgium,4.418743455
36,2007,Netherlands,0.546689451
37,2007,Norway,0.013155628499999999
38,2007,Ireland,4.2850375575
39,2007,Isle of Man,0.0977643765
40,2008,Belgium,3.9509017904999997
41,2008,Netherlands,0.8932929704999999
42,2008,Norway,0.03344797049999999
43,2008,Ireland,4.5539970735
44,2008,Isle of Man,0.11152189650000001
45,2009,Belgium,5.338261698
46,2009,Netherlands,1.1256230895
47,2009,Norway,0.023043845999999996
48,2009,Ireland,4.5570925155
49,2009,Isle of Man,0.11676695100000001
50,2010,Belgium,8.248665054
51,2010,Netherlands,1.361134635
52,2010,Norway,0.013585551
53,2010,Ireland,4.723902445499999
54,2010,Isle of Man,0.11410143149999999
55,2011,Belgium,8.729662347
56,2011,Netherlands,1.508512068
57,2011,Norway,0.01031814
58,2011,Ireland,4.886843073
59,2011,Isle of Man,0.10378329149999999
60,2012,Belgium,4.3287176835
61,2012,Netherlands,2.0403262005
62,2012,Norway,0.0042132405
63,2012,Ireland,4.880824158
64,2012,Isle of Man,0.0709372125
65,2013,Belgium,2.360962401
66,2013,Netherlands,1.5990537464999999
67,2013,Norway,0.00171969
68,2013,Ireland,4.4932920165
69,2013,Isle of Man,0.1075666095
70,2014,Belgium,4.133618853
71,2014,Netherlands,1.620979794
72,2014,Norway,0.0007738605
73,2014,Ireland,4.1046420765
74,2014,Isle of Man,0.1089423615
75,2015,Belgium,7.262680792499999
76,2015,Netherlands,1.7875317704999998
77,2015,Norway,0.00025795349999999996
78,2015,Ireland,4.0325010809999995
79,2015,Isle of Man,0.10249352399999999
80,2016,Belgium,5.7772125705
81,2016,Netherlands,1.573688319
82,2016,Norway,8.59845e-05
83,2016,Ireland,1.8867578835
84,2016,Isle of Man,0.11599309049999999
